Designator,Footprint,Quantity,Value,LCSC Part #
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D92, D93, D94, D95, D96, D97, D98, D99",ws2812c-2020-noSolk,31,WS2812B,
"J10, J9",PINHEADER-1x1_vertical,2,GND,
J8,PINHEADER-1x1_vertical,1,5V,
TP18,PINHEADER-1x1_vertical,1,LED IN,
TP19,PINHEADER-1x1_vertical,1,LED OUT,
