Designator,Mid X,Mid Y,Rotation,Layer
SW1,110.0076,-111.9378,135.0,bottom
SW2,37.388,-120.936,0.0,top
TP1,116.129,-124.968,180.0,bottom
TP10,56.82,-105.664,180.0,bottom
TP11,55.55,-105.664,180.0,bottom
TP12,54.28,-105.664,180.0,bottom
TP13,35.88,-118.11,270.0,bottom
TP14,35.865,-115.57,270.0,bottom
TP15,116.256,-141.732,180.0,bottom
TP2,116.129,-127.0,180.0,bottom
TP3,116.129,-129.032,180.0,bottom
TP4,116.129,-131.064,180.0,bottom
TP5,76.886,-119.126,180.0,bottom
TP6,76.886,-117.094,180.0,bottom
TP7,47.93,-105.672,180.0,bottom
TP8,49.2,-105.672,180.0,bottom
TP9,58.09,-105.664,180.0,bottom
U1,80.324,-122.291,90.0,top
U10,45.517,-122.239,270.0,bottom
U2,76.784,-182.372,0.0,bottom
U3,43.678,-129.4185,90.0,bottom
U4,58.787,-182.626,180.0,bottom
U5,48.692,-129.4185,90.0,bottom
U6,92.953,-182.753,180.0,bottom
U7,61.138,-134.555,270.0,bottom
U8,100.635,-110.49,270.0,bottom
U9,106.599,-126.492,0.0,top
Y1,114.947,-120.439,90.0,bottom
